"authors.keyword: Descending",Count
"Lin Zhou",1279
"Yan Yu",1279
"S. Williams",1278
"Xu Liu",1278
"Y. Takeda",1278
"B. Yang",1277
"Jing Lu",1277
"Viroj Wiwanitkit",1277
"Ye Zhang",1277
"Yuanyuan Zhang",1277
"J. Shen",1276
"Declan Butler",1275
"K. Zhang",1275
"Wei Luo",1275
"K. Nakajima",1274
"J. Klein",1273
"Richard Horton",1272
"B. Martin",1271
"Harold A. Scheraga",1271
"M. Rossi",1271
"Song Li",1271
"T. Shibata",1271
"Thomas J. Meyer",1271
"K. Maeda",1270
"Sheng Li",1270
"J. Wilson",1267
"K. Okada",1267
"Richard D. Smith",1267
"Hisashi Yamamoto",1266
